date,symbol,expiry,strike,option_type,open,close,contracts,oi,underlying,source
2022-01-07,NIFTY,2022-01-13,17650.0,CE,238.95,242.05,40282,99750,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,17700.0,CE,217.5,207.35,376057,807250,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,17750.0,CE,180.0,177.15,272052,504000,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,17800.0,CE,144.25,147.9,1285742,2912000,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,17850.0,CE,125.0,123.25,639855,908050,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,17900.0,CE,115.0,100.15,1397263,3018550,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,17950.0,CE,84.95,80.55,438944,800150,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,18000.0,CE,70.0,64.35,1537771,4486000,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,18050.0,CE,54.45,49.85,354851,680250,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,18100.0,CE,44.0,39.0,754072,2124700,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,18150.0,CE,31.35,30.0,242592,864050,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,18200.0,CE,24.85,22.45,601546,2504600,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,18250.0,CE,21.05,16.8,182022,636800,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,18300.0,CE,20.0,12.45,486717,3055550,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,18350.0,CE,17.8,9.15,148527,710200,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,18400.0,CE,10.6,6.75,488188,3218550,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,18450.0,CE,5.95,5.0,88028,479150,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,18500.0,CE,4.7,3.8,387644,3488200,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,18550.0,CE,4.7,2.75,76298,567250,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,18600.0,CE,3.05,2.25,313248,1726950,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,18650.0,CE,4.9,1.85,44923,306450,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,18700.0,CE,14.8,1.6,207259,1630450,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,18750.0,CE,7.0,1.4,21295,187250,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,18800.0,CE,1.9,1.4,128628,1247050,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,18850.0,CE,1.9,1.2,12825,74950,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,18900.0,CE,1.8,1.3,53775,400500,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,18950.0,CE,1.75,1.1,7844,40500,,NSE_bhavcopy
2022-01-07,NIFTY,2022-01-13,19000.0,CE,1.45,1.3,220988,3396350,,NSE_bhavcopy
