arm,n,gross_pnl_inr,win_rate,profit_factor,max_dd_inr,worst_inr,slippage_points,exchange_rate,net_pnl_inr
fixed,26,40506.250000000015,0.8076923076923077,5.028969290065903,7489.499999999985,-5391.749999999993,0.0,0.0005,29499.84182945502
fixed,26,40506.250000000015,0.8076923076923077,5.028969290065903,7489.499999999985,-5391.749999999993,0.5,0.0005,22139.84182945502
fixed,26,40506.250000000015,0.8076923076923077,5.028969290065903,7489.499999999985,-5391.749999999993,1.0,0.0005,14779.841829455021
fixed,26,40506.250000000015,0.8076923076923077,5.028969290065903,7489.499999999985,-5391.749999999993,2.0,0.0005,59.84182945502357
event,70,37291.400000000016,0.6285714285714286,1.5758711480700782,26467.499999999985,-9984.749999999996,0.0,0.0005,9222.870742752018
event,70,37291.400000000016,0.6285714285714286,1.5758711480700782,26467.499999999985,-9984.749999999996,0.5,0.0005,-10837.129257247978
event,70,37291.400000000016,0.6285714285714286,1.5758711480700782,26467.499999999985,-9984.749999999996,1.0,0.0005,-30897.12925724799
event,70,37291.400000000016,0.6285714285714286,1.5758711480700782,26467.499999999985,-9984.749999999996,2.0,0.0005,-71017.12925724794
