entry_date,near_expiry,far_expiry,secondary_spot_open,primary_spot_open,spot_abs_diff,primary_reason,primary_strike,secondary_strike,secondary_status,comparison_status,strike_mode,secondary_missing_entry,secondary_missing_exit,secondary_max_abs_price_diff,secondary_pnl_inr
2025-01-01,2025-01-02,2025-01-23,23637.650390625,23637.650390625,0.0,VALID,,23650.0,SECONDARY_COMPLETE,PRIMARY_VALID_SECONDARY_COMPLETE,SECONDARY_RESELECTED_STRIKE,,,,952.5
2025-01-03,2025-01-09,2025-01-30,24196.400390625,24196.400390625,0.0,VALID,,24200.0,SECONDARY_COMPLETE,PRIMARY_VALID_SECONDARY_COMPLETE,SECONDARY_RESELECTED_STRIKE,,,,513.75
2025-01-10,2025-01-16,2025-02-06,23551.900390625,23551.900390625,0.0,VALID,,23550.0,SECONDARY_COMPLETE,PRIMARY_VALID_SECONDARY_COMPLETE,SECONDARY_RESELECTED_STRIKE,,,,3749.999999999998
2025-01-17,2025-01-23,2025-02-13,23277.099609375,23277.099609375,0.0,VALID,,23300.0,SECONDARY_COMPLETE,PRIMARY_VALID_SECONDARY_COMPLETE,SECONDARY_RESELECTED_STRIKE,,,,1410.0
2025-01-24,2025-01-30,2025-02-20,23183.900390625,23183.900390625,0.0,VALID,,23200.0,SECONDARY_COMPLETE,PRIMARY_VALID_SECONDARY_COMPLETE,SECONDARY_RESELECTED_STRIKE,,,,-3772.499999999998
2025-01-31,2025-02-06,2025-02-27,23296.75,23296.75,0.0,VALID,,23300.0,SECONDARY_COMPLETE,PRIMARY_VALID_SECONDARY_COMPLETE,SECONDARY_RESELECTED_STRIKE,,,,198.75
2025-02-07,2025-02-13,2025-03-06,23649.5,23649.5,0.0,VALID,,23650.0,SECONDARY_COMPLETE,PRIMARY_VALID_SECONDARY_COMPLETE,SECONDARY_RESELECTED_STRIKE,,,,30956.25
2025-02-14,2025-02-20,2025-03-13,23096.44921875,23096.44921875,0.0,VALID,,23100.0,SECONDARY_COMPLETE,PRIMARY_VALID_SECONDARY_COMPLETE,SECONDARY_RESELECTED_STRIKE,,,,-1908.75
2025-02-21,2025-02-27,2025-03-20,22857.19921875,22857.19921875,0.0,VALID,,22850.0,SECONDARY_COMPLETE,PRIMARY_VALID_SECONDARY_COMPLETE,SECONDARY_RESELECTED_STRIKE,,,,-1004.9999999999991
2025-02-28,2025-03-06,2025-03-27,22433.400390625,22433.400390625,0.0,VALID,,22450.0,SECONDARY_COMPLETE,PRIMARY_VALID_SECONDARY_COMPLETE,SECONDARY_RESELECTED_STRIKE,,,,-22.49999999999909
2025-03-07,2025-03-13,2025-04-03,22508.650390625,22508.650390625,0.0,VALID,,22500.0,SECONDARY_COMPLETE,PRIMARY_VALID_SECONDARY_COMPLETE,SECONDARY_RESELECTED_STRIKE,,,,-2189.999999999999
2025-03-17,2025-03-20,2025-04-09,22353.150390625,22353.150390625,0.0,VALID,,22350.0,SECONDARY_COMPLETE,PRIMARY_VALID_SECONDARY_COMPLETE,SECONDARY_RESELECTED_STRIKE,,,,-21187.5
2025-03-21,2025-03-27,2025-04-17,23168.25,23168.25,0.0,VALID,,23150.0,SECONDARY_COMPLETE,PRIMARY_VALID_SECONDARY_COMPLETE,SECONDARY_RESELECTED_STRIKE,,,,38407.5
2025-03-28,2025-04-03,2025-04-24,23600.400390625,23600.400390625,0.0,VALID,,23600.0,SECONDARY_COMPLETE,PRIMARY_VALID_SECONDARY_COMPLETE,SECONDARY_RESELECTED_STRIKE,,,,176.25
2025-04-04,2025-04-09,2025-04-30,23190.400390625,23190.400390625,0.0,VALID,,23200.0,SECONDARY_COMPLETE,PRIMARY_VALID_SECONDARY_COMPLETE,SECONDARY_RESELECTED_STRIKE,,,,-1173.75
2025-04-11,2025-04-17,2025-05-08,22695.400390625,22695.400390625,0.0,VALID,,22700.0,SECONDARY_COMPLETE,PRIMARY_VALID_SECONDARY_COMPLETE,SECONDARY_RESELECTED_STRIKE,,,,-14519.999999999996
2025-04-21,2025-04-24,2025-05-15,23949.150390625,23949.150390625,0.0,VALID,,23950.0,SECONDARY_COMPLETE,PRIMARY_VALID_SECONDARY_COMPLETE,SECONDARY_RESELECTED_STRIKE,,,,-8073.750000000004
