brokerage_per_order,exchange_rate,gross_pnl_inr,net_no_slippage_inr,net_0.25pt_slippage_inr,net_0.50pt_slippage_inr,net_1.00pt_slippage_inr,net_2.00pt_slippage_inr
10.0,0.0003503,-299485.0,-320229.51063456,-332404.51063456,-344579.51063456,-368929.51063456,-417629.51063456
10.0,0.0005,-299485.0,-322222.7116737,-334397.7116737,-346572.7116737,-370922.7116737,-419622.7116737
10.0,0.00053,-299485.0,-322622.1507597001,-334797.1507597001,-346972.1507597001,-371322.1507597001,-420022.1507597001
15.0,0.0003503,-299485.0,-326459.91063456004,-338634.91063456004,-350809.91063456004,-375159.91063456,-423859.91063456
15.0,0.0005,-299485.0,-328453.11167370004,-340628.11167370004,-352803.1116737001,-377153.1116737001,-425853.11167370004
15.0,0.00053,-299485.0,-328852.55075969995,-341027.55075969995,-353202.55075969995,-377552.5507597,-426252.5507597
20.0,0.0003503,-299485.0,-332690.31063455995,-344865.31063455995,-357040.31063456,-381390.31063456,-430090.31063456
20.0,0.0005,-299485.0,-334683.51167369995,-346858.51167369995,-359033.51167369995,-383383.51167369995,-432083.51167369995
20.0,0.00053,-299485.0,-335082.95075970003,-347257.95075970003,-359432.95075970003,-383782.95075970003,-432482.95075970003
