kind,file,status,local_path,bytes
option,options/NIFTY/2025-06-26.parquet,DOWNLOADED,/home/runner/.cache/huggingface/hub/datasets--thetrademarkk--india-index-options-1m/snapshots/0f4800e43e6f96cec0794369d78eb4d3c4211ef5/options/NIFTY/2025-06-26.parquet,5608001
option,options/NIFTY/2025-07-03.parquet,DOWNLOADED,/home/runner/.cache/huggingface/hub/datasets--thetrademarkk--india-index-options-1m/snapshots/0f4800e43e6f96cec0794369d78eb4d3c4211ef5/options/NIFTY/2025-07-03.parquet,3637360
option,options/NIFTY/2025-07-10.parquet,DOWNLOADED,/home/runner/.cache/huggingface/hub/datasets--thetrademarkk--india-index-options-1m/snapshots/0f4800e43e6f96cec0794369d78eb4d3c4211ef5/options/NIFTY/2025-07-10.parquet,3286514
option,options/NIFTY/2025-07-17.parquet,DOWNLOADED,/home/runner/.cache/huggingface/hub/datasets--thetrademarkk--india-index-options-1m/snapshots/0f4800e43e6f96cec0794369d78eb4d3c4211ef5/options/NIFTY/2025-07-17.parquet,3145055
option,options/NIFTY/2025-07-24.parquet,DOWNLOADED,/home/runner/.cache/huggingface/hub/datasets--thetrademarkk--india-index-options-1m/snapshots/0f4800e43e6f96cec0794369d78eb4d3c4211ef5/options/NIFTY/2025-07-24.parquet,3115279
option,options/NIFTY/2025-07-31.parquet,DOWNLOADED,/home/runner/.cache/huggingface/hub/datasets--thetrademarkk--india-index-options-1m/snapshots/0f4800e43e6f96cec0794369d78eb4d3c4211ef5/options/NIFTY/2025-07-31.parquet,3811657
option,options/NIFTY/2025-08-07.parquet,DOWNLOADED,/home/runner/.cache/huggingface/hub/datasets--thetrademarkk--india-index-options-1m/snapshots/0f4800e43e6f96cec0794369d78eb4d3c4211ef5/options/NIFTY/2025-08-07.parquet,3448753
option,options/NIFTY/2025-08-14.parquet,DOWNLOADED,/home/runner/.cache/huggingface/hub/datasets--thetrademarkk--india-index-options-1m/snapshots/0f4800e43e6f96cec0794369d78eb4d3c4211ef5/options/NIFTY/2025-08-14.parquet,3291874
option,options/NIFTY/2025-08-21.parquet,DOWNLOADED,/home/runner/.cache/huggingface/hub/datasets--thetrademarkk--india-index-options-1m/snapshots/0f4800e43e6f96cec0794369d78eb4d3c4211ef5/options/NIFTY/2025-08-21.parquet,2797332
option,options/NIFTY/2025-08-28.parquet,DOWNLOADED,/home/runner/.cache/huggingface/hub/datasets--thetrademarkk--india-index-options-1m/snapshots/0f4800e43e6f96cec0794369d78eb4d3c4211ef5/options/NIFTY/2025-08-28.parquet,3209434
option,options/NIFTY/2025-09-02.parquet,DOWNLOADED,/home/runner/.cache/huggingface/hub/datasets--thetrademarkk--india-index-options-1m/snapshots/0f4800e43e6f96cec0794369d78eb4d3c4211ef5/options/NIFTY/2025-09-02.parquet,2160910
option,options/NIFTY/2025-09-09.parquet,DOWNLOADED,/home/runner/.cache/huggingface/hub/datasets--thetrademarkk--india-index-options-1m/snapshots/0f4800e43e6f96cec0794369d78eb4d3c4211ef5/options/NIFTY/2025-09-09.parquet,2605260
option,options/NIFTY/2025-09-16.parquet,DOWNLOADED,/home/runner/.cache/huggingface/hub/datasets--thetrademarkk--india-index-options-1m/snapshots/0f4800e43e6f96cec0794369d78eb4d3c4211ef5/options/NIFTY/2025-09-16.parquet,2425664
option,options/NIFTY/2025-09-23.parquet,DOWNLOADED,/home/runner/.cache/huggingface/hub/datasets--thetrademarkk--india-index-options-1m/snapshots/0f4800e43e6f96cec0794369d78eb4d3c4211ef5/options/NIFTY/2025-09-23.parquet,2504047
option,options/NIFTY/2025-09-30.parquet,DOWNLOADED,/home/runner/.cache/huggingface/hub/datasets--thetrademarkk--india-index-options-1m/snapshots/0f4800e43e6f96cec0794369d78eb4d3c4211ef5/options/NIFTY/2025-09-30.parquet,3406038
option,options/NIFTY/2025-10-07.parquet,DOWNLOADED,/home/runner/.cache/huggingface/hub/datasets--thetrademarkk--india-index-options-1m/snapshots/0f4800e43e6f96cec0794369d78eb4d3c4211ef5/options/NIFTY/2025-10-07.parquet,2300493
option,options/NIFTY/2025-10-14.parquet,DOWNLOADED,/home/runner/.cache/huggingface/hub/datasets--thetrademarkk--india-index-options-1m/snapshots/0f4800e43e6f96cec0794369d78eb4d3c4211ef5/options/NIFTY/2025-10-14.parquet,2626006
option,options/NIFTY/2025-10-28.parquet,DOWNLOADED,/home/runner/.cache/huggingface/hub/datasets--thetrademarkk--india-index-options-1m/snapshots/0f4800e43e6f96cec0794369d78eb4d3c4211ef5/options/NIFTY/2025-10-28.parquet,2556627
option,options/NIFTY/2025-11-04.parquet,DOWNLOADED,/home/runner/.cache/huggingface/hub/datasets--thetrademarkk--india-index-options-1m/snapshots/0f4800e43e6f96cec0794369d78eb4d3c4211ef5/options/NIFTY/2025-11-04.parquet,2951165
option,options/NIFTY/2025-11-11.parquet,DOWNLOADED,/home/runner/.cache/huggingface/hub/datasets--thetrademarkk--india-index-options-1m/snapshots/0f4800e43e6f96cec0794369d78eb4d3c4211ef5/options/NIFTY/2025-11-11.parquet,2370822
option,options/NIFTY/2025-11-18.parquet,DOWNLOADED,/home/runner/.cache/huggingface/hub/datasets--thetrademarkk--india-index-options-1m/snapshots/0f4800e43e6f96cec0794369d78eb4d3c4211ef5/options/NIFTY/2025-11-18.parquet,2770837
option,options/NIFTY/2025-11-25.parquet,DOWNLOADED,/home/runner/.cache/huggingface/hub/datasets--thetrademarkk--india-index-options-1m/snapshots/0f4800e43e6f96cec0794369d78eb4d3c4211ef5/options/NIFTY/2025-11-25.parquet,3052423
option,options/NIFTY/2025-12-02.parquet,DOWNLOADED,/home/runner/.cache/huggingface/hub/datasets--thetrademarkk--india-index-options-1m/snapshots/0f4800e43e6f96cec0794369d78eb4d3c4211ef5/options/NIFTY/2025-12-02.parquet,2671513
option,options/NIFTY/2025-12-09.parquet,DOWNLOADED,/home/runner/.cache/huggingface/hub/datasets--thetrademarkk--india-index-options-1m/snapshots/0f4800e43e6f96cec0794369d78eb4d3c4211ef5/options/NIFTY/2025-12-09.parquet,2660945
option,options/NIFTY/2025-12-16.parquet,DOWNLOADED,/home/runner/.cache/huggingface/hub/datasets--thetrademarkk--india-index-options-1m/snapshots/0f4800e43e6f96cec0794369d78eb4d3c4211ef5/options/NIFTY/2025-12-16.parquet,2643068
option,options/NIFTY/2025-12-23.parquet,DOWNLOADED,/home/runner/.cache/huggingface/hub/datasets--thetrademarkk--india-index-options-1m/snapshots/0f4800e43e6f96cec0794369d78eb4d3c4211ef5/options/NIFTY/2025-12-23.parquet,2448050
option,options/NIFTY/2025-12-30.parquet,DOWNLOADED,/home/runner/.cache/huggingface/hub/datasets--thetrademarkk--india-index-options-1m/snapshots/0f4800e43e6f96cec0794369d78eb4d3c4211ef5/options/NIFTY/2025-12-30.parquet,2746622
