sample,strategy,cycles,executable_trades,coverage,n,gross,mean,median,win,pf,dd,worst,bootstrap_total_ci_low,bootstrap_total_ci_high
DEVELOPMENT,F+1,156,153,0.9807692307692307,153,38051.25000000001,248.7009803921569,305.0000000000018,0.6209150326797386,1.3592833453326567,-17781.25,-13635.0,-20483.343749999975,94692.59374999997
DEVELOPMENT,F+2,156,152,0.9743589743589743,152,57793.74999999998,380.22203947368405,523.7500000000002,0.5986842105263158,1.403253237974794,-43681.25,-25931.25,-37470.15625000001,147153.0624999999
DEVELOPMENT,F+3,156,129,0.8269230769230769,129,28908.75000000001,224.09883720930242,472.5000000000009,0.5736434108527132,1.2285638045540797,-46613.75,-23452.5,-57988.75000000001,113032.40624999999
DEVELOPMENT,F+4,156,75,0.4807692307692308,75,50743.750000000015,676.5833333333335,214.9999999999991,0.5466666666666666,1.6302005712866365,-24567.500000000007,-11687.5,-28654.99999999998,136432.12500000003
DEVELOPMENT,ADAPTIVE,156,155,0.9935897435897436,155,143106.25000000003,923.2661290322583,738.7499999999991,0.7032258064516129,2.8690207986417215,-13635.0,-13635.0,77127.15625,205456.375
OOS,F+1,80,72,0.9,72,29542.500000000015,410.3125000000002,100.74999999999795,0.5277777777777778,1.3210565496405535,-47519.99999999999,-19455.0,-42315.04374999998,97093.18125000001
OOS,F+2,80,73,0.9125,73,-23165.500000000004,-317.3356164383562,281.2499999999991,0.5068493150684932,0.8363842151079124,-77988.75,-13826.25,-100470.18125,53859.21249999999
OOS,F+3,80,64,0.8,64,33141.74999999999,517.8398437499999,315.2499999999998,0.546875,1.2879812830739554,-53985.0,-14519.999999999996,-62511.906250000015,138191.02499999997
OOS,F+4,80,42,0.525,42,90236.75,2148.4940476190477,1651.875,0.6904761904761905,2.3733045188733444,-34368.749999999985,-26231.249999999996,-5393.006249999952,186877.70625
OOS,ADAPTIVE,80,77,0.9625,77,144277.50000000003,1873.7337662337666,1042.5000000000018,0.5844155844155844,2.762851548539434,-36963.749999999985,-12479.999999999993,50163.14375000002,241344.93125
