entry_date,spot_open
2025-01-01,23637.650390625
2025-01-03,24196.400390625
2025-01-10,23551.900390625
2025-01-17,23277.099609375
2025-01-24,23183.900390625
2025-01-31,23296.75
2025-02-07,23649.5
2025-02-14,23096.44921875
2025-02-21,22857.19921875
2025-02-28,22433.400390625
2025-03-07,22508.650390625
2025-03-17,22353.150390625
2025-03-21,23168.25
2025-03-28,23600.400390625
2025-04-04,23190.400390625
2025-04-11,22695.400390625
2025-04-21,23949.150390625
2025-04-25,24289.0
2025-05-02,24311.900390625
2025-05-09,23935.75
2025-05-16,25064.650390625
2025-05-23,24639.5
2025-05-30,24812.599609375
2025-06-06,24748.69921875
2025-06-13,24473.0
2025-06-20,24787.650390625
2025-06-27,25576.650390625
2025-07-04,25428.849609375
2025-07-11,25255.5
2025-07-18,25108.55078125
2025-07-25,25010.349609375
2025-08-01,24734.900390625
2025-08-08,24544.25
2025-08-18,24938.19921875
2025-08-22,25064.150390625
2025-08-29,24466.69921875
2025-09-03,24616.5
2025-09-10,24991.0
2025-09-17,25276.599609375
2025-09-24,25108.75
2025-10-01,24620.55078125
2025-10-08,25079.75
2025-10-15,25181.94921875
2025-10-23,26057.19921875
2025-10-29,25982.0
2025-11-06,25593.349609375
2025-11-12,25834.30078125
2025-11-19,25918.099609375
2025-11-26,25842.94921875
2025-12-03,26004.900390625
2025-12-10,25864.05078125
2025-12-17,25902.400390625
2025-12-24,26170.650390625
2025-12-31,25971.05078125
2026-01-07,26143.099609375
2026-01-14,25648.55078125
2026-01-21,25141.0
2026-01-28,25258.849609375
2026-02-04,25675.05078125
2026-02-11,25997.44921875
2026-02-18,25752.650390625
2026-02-25,25512.599609375
2026-03-04,24388.80078125
2026-03-11,24231.849609375
2026-03-18,23632.900390625
2026-03-25,23064.400390625
2026-04-01,22899.0
2026-04-08,23855.150390625
2026-04-15,24163.80078125
2026-04-22,24470.849609375
2026-04-29,24096.900390625
2026-05-06,24171.0
2026-05-13,23362.44921875
2026-05-20,23457.25
2026-05-27,23880.349609375
2026-06-03,23415.94921875
2026-06-10,23233.94921875
2026-06-17,24044.5
2026-06-24,23795.80078125
2026-07-01,23897.650390625
2026-07-08,24259.55078125
2026-07-15,24085.849609375
2026-07-22,24150.44921875
2026-07-29,24176.650390625
2026-08-05,24669.19921875
2026-08-12,24472.44921875
2026-08-19,24152.05078125
2026-08-26,24341.94921875
