kind,file,status,local_path,bytes
option,options/NIFTY/2022-11-17.parquet,DOWNLOADED,/home/runner/.cache/huggingface/hub/datasets--thetrademarkk--india-index-options-1m/snapshots/0f4800e43e6f96cec0794369d78eb4d3c4211ef5/options/NIFTY/2022-11-17.parquet,3002485
option,options/NIFTY/2022-11-24.parquet,DOWNLOADED,/home/runner/.cache/huggingface/hub/datasets--thetrademarkk--india-index-options-1m/snapshots/0f4800e43e6f96cec0794369d78eb4d3c4211ef5/options/NIFTY/2022-11-24.parquet,3566794
option,options/NIFTY/2023-01-05.parquet,DOWNLOADED,/home/runner/.cache/huggingface/hub/datasets--thetrademarkk--india-index-options-1m/snapshots/0f4800e43e6f96cec0794369d78eb4d3c4211ef5/options/NIFTY/2023-01-05.parquet,3670914
option,options/NIFTY/2023-01-12.parquet,DOWNLOADED,/home/runner/.cache/huggingface/hub/datasets--thetrademarkk--india-index-options-1m/snapshots/0f4800e43e6f96cec0794369d78eb4d3c4211ef5/options/NIFTY/2023-01-12.parquet,3568993
option,options/NIFTY/2023-01-25.parquet,DOWNLOADED,/home/runner/.cache/huggingface/hub/datasets--thetrademarkk--india-index-options-1m/snapshots/0f4800e43e6f96cec0794369d78eb4d3c4211ef5/options/NIFTY/2023-01-25.parquet,3453758
option,options/NIFTY/2023-02-02.parquet,DOWNLOADED,/home/runner/.cache/huggingface/hub/datasets--thetrademarkk--india-index-options-1m/snapshots/0f4800e43e6f96cec0794369d78eb4d3c4211ef5/options/NIFTY/2023-02-02.parquet,3944293
option,options/NIFTY/2023-02-16.parquet,DOWNLOADED,/home/runner/.cache/huggingface/hub/datasets--thetrademarkk--india-index-options-1m/snapshots/0f4800e43e6f96cec0794369d78eb4d3c4211ef5/options/NIFTY/2023-02-16.parquet,3185244
option,options/NIFTY/2023-02-23.parquet,DOWNLOADED,/home/runner/.cache/huggingface/hub/datasets--thetrademarkk--india-index-options-1m/snapshots/0f4800e43e6f96cec0794369d78eb4d3c4211ef5/options/NIFTY/2023-02-23.parquet,3718752
option,options/NIFTY/2023-03-09.parquet,DOWNLOADED,/home/runner/.cache/huggingface/hub/datasets--thetrademarkk--india-index-options-1m/snapshots/0f4800e43e6f96cec0794369d78eb4d3c4211ef5/options/NIFTY/2023-03-09.parquet,2841957
option,options/NIFTY/2023-03-16.parquet,DOWNLOADED,/home/runner/.cache/huggingface/hub/datasets--thetrademarkk--india-index-options-1m/snapshots/0f4800e43e6f96cec0794369d78eb4d3c4211ef5/options/NIFTY/2023-03-16.parquet,3375775
option,options/NIFTY/2023-03-23.parquet,DOWNLOADED,/home/runner/.cache/huggingface/hub/datasets--thetrademarkk--india-index-options-1m/snapshots/0f4800e43e6f96cec0794369d78eb4d3c4211ef5/options/NIFTY/2023-03-23.parquet,3789776
option,options/NIFTY/2023-03-29.parquet,DOWNLOADED,/home/runner/.cache/huggingface/hub/datasets--thetrademarkk--india-index-options-1m/snapshots/0f4800e43e6f96cec0794369d78eb4d3c4211ef5/options/NIFTY/2023-03-29.parquet,3851632
option,options/NIFTY/2023-04-06.parquet,DOWNLOADED,/home/runner/.cache/huggingface/hub/datasets--thetrademarkk--india-index-options-1m/snapshots/0f4800e43e6f96cec0794369d78eb4d3c4211ef5/options/NIFTY/2023-04-06.parquet,2767943
option,options/NIFTY/2023-04-13.parquet,DOWNLOADED,/home/runner/.cache/huggingface/hub/datasets--thetrademarkk--india-index-options-1m/snapshots/0f4800e43e6f96cec0794369d78eb4d3c4211ef5/options/NIFTY/2023-04-13.parquet,2535029
option,options/NIFTY/2023-04-27.parquet,DOWNLOADED,/home/runner/.cache/huggingface/hub/datasets--thetrademarkk--india-index-options-1m/snapshots/0f4800e43e6f96cec0794369d78eb4d3c4211ef5/options/NIFTY/2023-04-27.parquet,3536748
option,options/NIFTY/2023-05-04.parquet,DOWNLOADED,/home/runner/.cache/huggingface/hub/datasets--thetrademarkk--india-index-options-1m/snapshots/0f4800e43e6f96cec0794369d78eb4d3c4211ef5/options/NIFTY/2023-05-04.parquet,2736617
option,options/NIFTY/2023-05-11.parquet,DOWNLOADED,/home/runner/.cache/huggingface/hub/datasets--thetrademarkk--india-index-options-1m/snapshots/0f4800e43e6f96cec0794369d78eb4d3c4211ef5/options/NIFTY/2023-05-11.parquet,2953705
option,options/NIFTY/2023-05-25.parquet,DOWNLOADED,/home/runner/.cache/huggingface/hub/datasets--thetrademarkk--india-index-options-1m/snapshots/0f4800e43e6f96cec0794369d78eb4d3c4211ef5/options/NIFTY/2023-05-25.parquet,3712382
option,options/NIFTY/2023-06-01.parquet,DOWNLOADED,/home/runner/.cache/huggingface/hub/datasets--thetrademarkk--india-index-options-1m/snapshots/0f4800e43e6f96cec0794369d78eb4d3c4211ef5/options/NIFTY/2023-06-01.parquet,3370549
option,options/NIFTY/2023-06-15.parquet,DOWNLOADED,/home/runner/.cache/huggingface/hub/datasets--thetrademarkk--india-index-options-1m/snapshots/0f4800e43e6f96cec0794369d78eb4d3c4211ef5/options/NIFTY/2023-06-15.parquet,2959781
option,options/NIFTY/2023-06-22.parquet,DOWNLOADED,/home/runner/.cache/huggingface/hub/datasets--thetrademarkk--india-index-options-1m/snapshots/0f4800e43e6f96cec0794369d78eb4d3c4211ef5/options/NIFTY/2023-06-22.parquet,3028151
option,options/NIFTY/2023-07-06.parquet,DOWNLOADED,/home/runner/.cache/huggingface/hub/datasets--thetrademarkk--india-index-options-1m/snapshots/0f4800e43e6f96cec0794369d78eb4d3c4211ef5/options/NIFTY/2023-07-06.parquet,3182760
option,options/NIFTY/2023-07-13.parquet,DOWNLOADED,/home/runner/.cache/huggingface/hub/datasets--thetrademarkk--india-index-options-1m/snapshots/0f4800e43e6f96cec0794369d78eb4d3c4211ef5/options/NIFTY/2023-07-13.parquet,3503242
option,options/NIFTY/2023-07-20.parquet,DOWNLOADED,/home/runner/.cache/huggingface/hub/datasets--thetrademarkk--india-index-options-1m/snapshots/0f4800e43e6f96cec0794369d78eb4d3c4211ef5/options/NIFTY/2023-07-20.parquet,3413900
option,options/NIFTY/2023-07-27.parquet,DOWNLOADED,/home/runner/.cache/huggingface/hub/datasets--thetrademarkk--india-index-options-1m/snapshots/0f4800e43e6f96cec0794369d78eb4d3c4211ef5/options/NIFTY/2023-07-27.parquet,4235922
option,options/NIFTY/2023-08-03.parquet,DOWNLOADED,/home/runner/.cache/huggingface/hub/datasets--thetrademarkk--india-index-options-1m/snapshots/0f4800e43e6f96cec0794369d78eb4d3c4211ef5/options/NIFTY/2023-08-03.parquet,3600561
option,options/NIFTY/2023-08-10.parquet,DOWNLOADED,/home/runner/.cache/huggingface/hub/datasets--thetrademarkk--india-index-options-1m/snapshots/0f4800e43e6f96cec0794369d78eb4d3c4211ef5/options/NIFTY/2023-08-10.parquet,3376684
option,options/NIFTY/2023-08-17.parquet,DOWNLOADED,/home/runner/.cache/huggingface/hub/datasets--thetrademarkk--india-index-options-1m/snapshots/0f4800e43e6f96cec0794369d78eb4d3c4211ef5/options/NIFTY/2023-08-17.parquet,2822687
option,options/NIFTY/2023-08-24.parquet,DOWNLOADED,/home/runner/.cache/huggingface/hub/datasets--thetrademarkk--india-index-options-1m/snapshots/0f4800e43e6f96cec0794369d78eb4d3c4211ef5/options/NIFTY/2023-08-24.parquet,2673294
option,options/NIFTY/2023-08-31.parquet,DOWNLOADED,/home/runner/.cache/huggingface/hub/datasets--thetrademarkk--india-index-options-1m/snapshots/0f4800e43e6f96cec0794369d78eb4d3c4211ef5/options/NIFTY/2023-08-31.parquet,3598347
option,options/NIFTY/2023-09-07.parquet,DOWNLOADED,/home/runner/.cache/huggingface/hub/datasets--thetrademarkk--india-index-options-1m/snapshots/0f4800e43e6f96cec0794369d78eb4d3c4211ef5/options/NIFTY/2023-09-07.parquet,3039511
