entry_date,near_expiry,far_expiry,secondary_spot_open,primary_spot_open,spot_abs_diff,primary_reason,primary_strike,secondary_strike,secondary_status,comparison_status,strike_mode,secondary_missing_entry,secondary_missing_exit,secondary_max_abs_price_diff,secondary_pnl_inr
2022-01-07,2022-01-13,2022-02-03,17797.599609375,17802.7,5.100390625000728,MISSING_ENTRY_LEG,17800.0,17800.0,SECONDARY_COMPLETE,RECOVERED_BY_SECONDARY_EXACT,SAME_AS_PRIMARY_STRIKE,,,8.349999999999994,-4977.5
2022-01-14,2022-01-20,2022-02-10,18185.0,18197.7,12.700000000000728,MISSING_ENTRY_LEG+MISSING_EXIT_LEG,16000.0,18200.0,SECONDARY_COMPLETE,RECOVERED_BY_SECONDARY_RESELECTED,SECONDARY_RESELECTED_STRIKE,,,500.9,-10764.999999999998
2022-01-21,2022-01-27,2022-02-17,17613.69921875,17637.1,23.400781249998545,NO_COMMON_STRIKE,,17600.0,SECONDARY_COMPLETE,RECOVERED_BY_SECONDARY_RESELECTED,SECONDARY_RESELECTED_STRIKE,,,,25260.000000000004
2022-01-28,2022-02-03,2022-02-24,17208.30078125,17237.4,29.099218750001455,VALID,17250.0,17200.0,SECONDARY_COMPLETE,PRIMARY_VALID_SECONDARY_COMPLETE,SECONDARY_RESELECTED_STRIKE,,,124.69999999999999,-3472.500000000002
2022-02-04,2022-02-10,2022-03-03,17590.19921875,17593.9,3.700781250001455,MISSING_ENTRY_LEG+MISSING_EXIT_LEG,17850.0,17600.0,SECONDARY_COMPLETE,RECOVERED_BY_SECONDARY_RESELECTED,SECONDARY_RESELECTED_STRIKE,,,242.2,-284.9999999999991
2022-02-11,2022-02-17,2022-03-10,17451.0,17454.8,3.7999999999992724,MISSING_ENTRY_LEG+MISSING_EXIT_LEG,18000.0,17450.0,SECONDARY_COMPLETE,RECOVERED_BY_SECONDARY_RESELECTED,SECONDARY_RESELECTED_STRIKE,,,564.65,17542.5
2022-02-18,2022-02-24,2022-03-17,17236.05078125,17241.8,5.749218749999272,MISSING_ENTRY_LEG+MISSING_EXIT_LEG,17300.0,17250.0,SECONDARY_COMPLETE,RECOVERED_BY_SECONDARY_RESELECTED,SECONDARY_RESELECTED_STRIKE,,,423.05,62080.0
2022-02-25,2022-03-03,2022-03-24,16515.650390625,16525.7,10.049609375000728,MISSING_ENTRY_LEG,16500.0,16500.0,SECONDARY_COMPLETE,RECOVERED_BY_SECONDARY_EXACT,SAME_AS_PRIMARY_STRIKE,,,16.44999999999999,3759.999999999999
2022-03-04,2022-03-10,2022-03-31,16339.4501953125,16362.1,22.649804687500364,VALID,16350.0,16350.0,SECONDARY_COMPLETE,PRIMARY_VALID_SECONDARY_COMPLETE,SAME_AS_PRIMARY_STRIKE,,,28.550000000000068,3160.0
2022-03-11,2022-03-17,2022-04-07,16528.80078125,16536.8,7.999218749999272,MISSING_ENTRY_LEG+MISSING_EXIT_LEG,16300.0,16550.0,SECONDARY_COMPLETE,RECOVERED_BY_SECONDARY_RESELECTED,SECONDARY_RESELECTED_STRIKE,,,250.25,-13115.0
2022-03-21,2022-03-24,2022-04-13,17329.5,17330.6,1.0999999999985448,MISSING_ENTRY_LEG,17300.0,17350.0,SECONDARY_COMPLETE,RECOVERED_BY_SECONDARY_RESELECTED,SECONDARY_RESELECTED_STRIKE,,,364.0,3005.0
2022-03-25,2022-03-31,2022-04-21,17289.0,17294.9,5.900000000001455,MISSING_ENTRY_LEG+MISSING_EXIT_LEG,18500.0,17300.0,SECONDARY_COMPLETE,RECOVERED_BY_SECONDARY_RESELECTED,SECONDARY_RESELECTED_STRIKE,,,1037.9499999999998,2557.500000000002
2022-04-01,2022-04-07,2022-04-28,17436.900390625,17437.8,0.8996093749992724,VALID,17450.0,17450.0,SECONDARY_COMPLETE,PRIMARY_VALID_SECONDARY_COMPLETE,SAME_AS_PRIMARY_STRIKE,,,3.3499999999999943,3942.500000000001
2022-04-08,2022-04-13,2022-05-05,17698.150390625,17706.3,8.149609374999272,MISSING_ENTRY_LEG,18000.0,17700.0,SECONDARY_COMPLETE,RECOVERED_BY_SECONDARY_RESELECTED,SECONDARY_RESELECTED_STRIKE,,,306.65,257.4999999999977
2022-04-18,2022-04-21,2022-05-12,17183.44921875,17187.7,4.250781250000728,MISSING_ENTRY_LEG,17200.0,17200.0,SECONDARY_COMPLETE,RECOVERED_BY_SECONDARY_EXACT,SAME_AS_PRIMARY_STRIKE,,,1.3499999999999943,-2327.500000000001
2022-04-22,2022-04-28,2022-05-19,17242.75,17253.3,10.549999999999272,MISSING_ENTRY_LEG,17200.0,17250.0,SECONDARY_COMPLETE,RECOVERED_BY_SECONDARY_RESELECTED,SECONDARY_RESELECTED_STRIKE,,,364.0,-15765.0
2022-04-29,2022-05-05,2022-05-26,17329.25,17331.7,2.4500000000007276,VALID,17350.0,17350.0,SECONDARY_COMPLETE,PRIMARY_VALID_SECONDARY_COMPLETE,SAME_AS_PRIMARY_STRIKE,,,10.350000000000023,-207.5
2022-05-06,2022-05-12,2022-06-02,16415.55078125,16440.8,25.249218749999272,MISSING_ENTRY_LEG,16200.0,16400.0,SECONDARY_COMPLETE,RECOVERED_BY_SECONDARY_RESELECTED,SECONDARY_RESELECTED_STRIKE,,,212.3,775.0000000000036
2022-05-13,2022-05-19,2022-06-09,15977.0,15994.4,17.399999999999636,MISSING_ENTRY_LEG+MISSING_EXIT_LEG,17000.0,16000.0,SECONDARY_COMPLETE,RECOVERED_BY_SECONDARY_RESELECTED,SECONDARY_RESELECTED_STRIKE,,,990.8499999999999,-1474.9999999999982
2022-05-20,2022-05-26,2022-06-16,16043.7998046875,16045.0,1.2001953125,MISSING_ENTRY_LEG,16300.0,16050.0,SECONDARY_COMPLETE,RECOVERED_BY_SECONDARY_RESELECTED,SECONDARY_RESELECTED_STRIKE,,,219.25,-1160.0
2022-05-27,2022-06-02,2022-06-23,16296.599609375,16300.2,3.6003906250007276,MISSING_ENTRY_LEG,16500.0,16300.0,SECONDARY_COMPLETE,RECOVERED_BY_SECONDARY_RESELECTED,SECONDARY_RESELECTED_STRIKE,,,190.14999999999998,-665.0
2022-06-03,2022-06-09,2022-06-30,16761.650390625,16763.8,2.1496093749992724,VALID,16750.0,16750.0,SECONDARY_COMPLETE,PRIMARY_VALID_SECONDARY_COMPLETE,SAME_AS_PRIMARY_STRIKE,,,12.099999999999994,-1027.5000000000045
2022-06-10,2022-06-16,2022-07-07,16283.9501953125,16306.0,22.0498046875,MISSING_ENTRY_LEG,16400.0,16300.0,SECONDARY_COMPLETE,RECOVERED_BY_SECONDARY_RESELECTED,SECONDARY_RESELECTED_STRIKE,,,106.95000000000005,2897.5
2022-06-17,2022-06-23,2022-07-14,15272.650390625,15306.0,33.349609375,MISSING_ENTRY_LEG,15600.0,15250.0,SECONDARY_COMPLETE,RECOVERED_BY_SECONDARY_RESELECTED,SECONDARY_RESELECTED_STRIKE,,,696.9,43155.0
2022-06-24,2022-06-30,2022-07-21,15657.400390625,15665.7,8.299609375000728,NO_COMMON_STRIKE,,15650.0,SECONDARY_COMPLETE,RECOVERED_BY_SECONDARY_RESELECTED,SECONDARY_RESELECTED_STRIKE,,,,-31597.5
