threshold,all_n,all_gross_pnl,all_win_rate,all_profit_factor,all_max_drawdown,all_conservative_net20_2pt,train_n_2022_2023,train_gross_pnl_2022_2023,train_conservative_net20_2pt,test_n_2024,test_gross_pnl_2024,test_conservative_net20_2pt
1.15,45,75126.25,0.7777777777777778,8.483625949445893,-3355.0000000000055,31538.147722375004,33,57902.49999999999,22680.073493349995,12,17223.750000000004,8858.074229025
1.2,52,83068.75,0.7884615384615384,8.289130196336513,-3355.0000000000055,32896.554763825,36,61367.5,23002.372292050004,16,21701.249999999996,9894.182471774997
1.25,56,82423.75,0.7678571428571429,7.1885499765368355,-4752.500000000006,27957.154105525,40,60722.50000000001,18062.971633750007,16,21701.249999999996,9894.182471774997
1.3,62,76827.5,0.7096774193548387,5.019225738948469,-4752.500000000006,16465.39408985,44,59670.0,12814.392208600006,18,17157.499999999996,3651.0018812499948
