cutoff,event_trades,gross_pnl_inr,win_rate,profit_factor,max_drawdown_inr,worst_trade_inr,event_net_0pt_inr,event_net_0.5pt_inr,event_net_1pt_inr,event_net_2pt_inr,event_gatepass_trades,event_gatefail_trades,event_gatepass_gross_inr,event_gatefail_gross_inr,p8_gate_reference_gross_on_event_gatepass_dates_inr,event_minus_p8_gate_reference_gross_inr
15:00,63,37787.000000000044,0.6349206349206349,1.6545867149402798,33428.999999999985,-9984.749999999996,12849.010167830042,-5170.989832169962,-23190.989832169987,-59230.98983216998,31,32,36492.250000000015,1294.7500000000318,96721.75,-58934.749999999956
15:15,64,38465.750000000044,0.640625,1.666344746346999,33428.999999999985,-9984.749999999996,13193.009290705042,-5126.990709294962,-23446.990709294987,-60086.99070929498,32,32,37171.000000000015,1294.7500000000318,95716.75,-57250.999999999956
15:30,65,43607.250000000044,0.6461538461538462,1.755411292907071,33428.999999999985,-9984.749999999996,17798.702829085043,-781.2971709149633,-19361.297170914986,-56521.29717091498,33,32,42312.500000000015,1294.7500000000318,104231.75,-60624.499999999956
15:40,65,43607.250000000044,0.6461538461538462,1.755411292907071,33428.999999999985,-9984.749999999996,17798.702829085043,-781.2971709149633,-19361.297170914986,-56521.29717091498,33,32,42312.500000000015,1294.7500000000318,104231.75,-60624.499999999956
