candidate_index,previous_expiry,near_expiry,far_expiry,entry_date,spot_open,primary_strike,primary_reason,near_common_strike_count,far_common_strike_count,common_strike_count,missing_entry_legs,missing_exit_legs,entry_open_missing,exit_close_missing,primary_near_pe_open,primary_near_pe_close,primary_near_ce_open,primary_near_ce_close,primary_far_ce_open,primary_far_ce_close,primary_far_pe_open,primary_far_pe_close
1,2022-01-06,2022-01-13,2022-02-03,2022-01-07,17802.7,17800,MISSING_ENTRY_LEG,84,3,3,,,far_pe,,151.0,0.05,144.25,461.4,417.3,577.0,,120.25
2,2022-01-13,2022-01-20,2022-02-10,2022-01-14,18197.7,16000,MISSING_ENTRY_LEG+MISSING_EXIT_LEG,68,1,1,near_ce;far_ce,near_ce;far_ce,near_ce;far_ce,near_ce;far_ce,1.75,0.05,,,,,18.1,12.0
3,2022-01-20,2022-01-27,2022-02-17,2022-01-21,17637.1,,NO_COMMON_STRIKE,87,0,0,,,,,,,,,,,,
4,2022-01-27,2022-02-03,2022-02-24,2022-01-28,17237.4,17250,VALID,85,65,62,,,,,279.9,0.05,216.95,309.65,300.05,458.35,378.4,203.7
5,2022-02-03,2022-02-10,2022-03-03,2022-02-04,17593.9,17850,MISSING_ENTRY_LEG+MISSING_EXIT_LEG,83,4,4,far_pe,far_pe,far_pe,far_pe,330.0,244.5,50.0,0.05,207.85,173.4,,
6,2022-02-10,2022-02-17,2022-03-10,2022-02-11,17454.8,18000,MISSING_ENTRY_LEG+MISSING_EXIT_LEG,80,2,2,far_pe,far_pe,far_pe,far_pe,568.0,694.55,18.0,0.05,129.5,97.9,,
7,2022-02-17,2022-02-24,2022-03-17,2022-02-18,17241.8,17300,MISSING_ENTRY_LEG+MISSING_EXIT_LEG,88,6,6,far_pe,far_pe,far_pe,far_pe,239.0,1052.75,179.0,0.05,423.05,102.0,,
8,2022-02-24,2022-03-03,2022-03-24,2022-02-25,16525.7,16500,MISSING_ENTRY_LEG,88,10,10,,,far_pe,,200.7,1.65,345.75,0.05,504.4,447.95,,426.65
9,2022-03-03,2022-03-10,2022-03-31,2022-03-04,16362.1,16350,VALID,79,63,57,,,,,225.1,0.05,229.3,245.05,465.35,522.3,500.0,288.65
10,2022-03-10,2022-03-17,2022-04-07,2022-03-11,16536.8,16300,MISSING_ENTRY_LEG+MISSING_EXIT_LEG,96,5,5,,far_ce,far_pe,far_ce,168.2,0.05,271.35,988.5,551.25,645.0,,90.0
