candidate_index,previous_expiry,near_expiry,far_expiry,entry_date,spot_open,primary_strike,primary_reason,near_common_strike_count,far_common_strike_count,common_strike_count,missing_entry_legs,missing_exit_legs,entry_open_missing,exit_close_missing,primary_near_pe_open,primary_near_pe_close,primary_near_ce_open,primary_near_ce_close,primary_far_ce_open,primary_far_ce_close,primary_far_pe_open,primary_far_pe_close
11,2022-03-17,2022-03-24,2022-04-13,2022-03-21,17330.6,17300,MISSING_ENTRY_LEG,95,3,3,,,far_ce,,197.0,77.2,240.0,0.05,,372.7,364.0,425.95
12,2022-03-24,2022-03-31,2022-04-21,2022-03-25,17294.9,18500,MISSING_ENTRY_LEG+MISSING_EXIT_LEG,103,1,1,far_pe,far_pe,far_pe,far_pe,1214.25,1038.1,2.1,0.05,62.9,31.0,,
13,2022-03-31,2022-04-07,2022-04-28,2022-04-01,17437.8,17450,VALID,83,57,54,,,,,170.6,0.05,188.85,190.05,376.05,473.9,351.0,193.65
14,2022-04-07,2022-04-13,2022-05-05,2022-04-08,17706.3,18000,MISSING_ENTRY_LEG,84,3,3,,,far_pe,,333.0,525.5,44.0,0.05,239.95,100.6,,542.15
15,2022-04-13,2022-04-21,2022-05-12,2022-04-18,17187.7,17200,MISSING_ENTRY_LEG,82,4,4,,,far_pe,,101.25,0.05,150.0,191.75,425.0,415.0,,185.0
16,2022-04-21,2022-04-28,2022-05-19,2022-04-22,17253.3,17200,MISSING_ENTRY_LEG,94,5,5,,,far_ce,,500.0,0.05,180.1,44.95,,324.65,310.95,277.35
17,2022-04-28,2022-05-05,2022-05-26,2022-04-29,17331.7,17350,VALID,80,63,60,,,,,172.15,669.25,130.0,0.05,331.35,68.5,359.45,735.95
18,2022-05-05,2022-05-12,2022-06-02,2022-05-06,16440.8,16200,MISSING_ENTRY_LEG,76,7,7,,,far_ce,,90.0,392.05,326.45,0.05,,174.0,242.2,567.55
19,2022-05-12,2022-05-19,2022-06-09,2022-05-13,15994.4,17000,MISSING_ENTRY_LEG+MISSING_EXIT_LEG,89,1,1,far_pe,far_pe,far_pe,far_pe,1020.0,1187.1,3.95,0.1,74.95,25.4,,
20,2022-05-19,2022-05-26,2022-06-16,2022-05-20,16045.0,16300,MISSING_ENTRY_LEG,90,2,2,far_pe,,far_pe,,377.3,130.0,54.0,0.05,219.25,278.7,,390.0
21,2022-05-26,2022-06-02,2022-06-23,2022-05-27,16300.2,16500,MISSING_ENTRY_LEG,88,4,4,,,far_pe,,305.05,0.05,84.2,128.3,268.3,363.85,,244.55
22,2022-06-02,2022-06-09,2022-06-30,2022-06-03,16763.8,16750,VALID,90,57,52,,,,,162.3,271.75,160.0,0.1,340.6,140.0,311.95,422.75
23,2022-06-09,2022-06-16,2022-07-07,2022-06-10,16306.0,16400,MISSING_ENTRY_LEG,72,10,10,,,far_pe,,147.4,1040.0,124.0,0.05,292.2,33.95,,1057.65
24,2022-06-16,2022-06-23,2022-07-14,2022-06-17,15306.0,15600,MISSING_ENTRY_LEG,94,4,4,,,far_pe,,358.35,43.65,86.95,0.05,261.7,293.35,,300.75
25,2022-06-23,2022-06-30,2022-07-21,2022-06-24,15665.7,,NO_COMMON_STRIKE,83,0,0,,,,,,,,,,,,
26,2022-06-30,2022-07-07,2022-07-28,2022-07-01,15708.3,15700,VALID,77,58,55,,,,,169.9,0.05,148.0,433.55,370.05,578.8,389.35,125.0
27,2022-07-07,2022-07-14,2022-08-04,2022-07-08,16275.5,,NO_COMMON_STRIKE,85,0,0,,,,,,,,,,,,
28,2022-07-14,2022-07-21,2022-08-11,2022-07-15,15994.5,15800,MISSING_ENTRY_LEG+MISSING_EXIT_LEG,83,4,4,,far_ce,far_ce,far_ce,78.0,0.05,238.3,805.5,,443.65,207.5,42.8
29,2022-07-21,2022-07-28,2022-08-18,2022-07-22,16666.8,16600,MISSING_ENTRY_LEG,92,9,9,,,far_pe,,85.2,0.05,150.0,329.0,304.95,475.75,,140.25
30,2022-07-28,2022-08-04,2022-08-25,2022-07-29,17064.8,17050,MISSING_ENTRY_LEG,78,51,49,,,far_pe,,117.2,0.05,127.0,331.3,315.55,487.2,,166.95
31,2022-08-04,2022-08-11,2022-09-01,2022-08-05,17416.9,17400,MISSING_ENTRY_LEG,92,8,8,,,far_pe,,170.0,0.05,180.0,258.95,352.7,452.0,,160.05
32,2022-08-11,2022-08-18,2022-09-08,2022-08-12,17649.1,18000,MISSING_ENTRY_LEG,79,4,4,,,far_pe,,355.7,43.5,23.75,0.05,188.0,270.1,,231.0
33,2022-08-18,2022-08-25,2022-09-15,2022-08-19,17975.3,18500,MISSING_ENTRY_LEG+MISSING_EXIT_LEG,83,2,2,far_pe,far_pe,far_pe,far_pe,520.1,980.0,6.05,0.05,108.15,22.0,,
34,2022-08-25,2022-09-01,2022-09-22,2022-08-26,17628.1,17000,MISSING_ENTRY_LEG,85,1,1,far_ce,,far_ce,,25.95,0.05,625.0,543.85,,688.0,134.95,106.85
35,2022-09-01,2022-09-08,2022-09-29,2022-09-02,17605.1,17600,VALID,98,51,50,,,,,165.95,0.05,176.1,198.15,342.15,417.0,330.85,187.5
36,2022-09-08,2022-09-15,2022-10-06,2022-09-09,17902.3,18500,MISSING_ENTRY_LEG+MISSING_EXIT_LEG,83,2,2,far_pe,far_pe,far_pe,far_pe,582.2,623.5,5.4,0.05,88.5,73.1,,
37,2022-09-15,2022-09-22,2022-10-13,2022-09-16,17818.6,,NO_COMMON_STRIKE,87,0,0,,,,,,,,,,,,
38,2022-09-22,2022-09-29,2022-10-20,2022-09-23,17610.4,18000,MISSING_ENTRY_LEG+MISSING_EXIT_LEG,92,3,3,far_pe,far_pe,far_pe,far_pe,454.4,1184.6,35.95,0.05,231.4,26.45,,
39,2022-09-29,2022-10-06,2022-10-27,2022-09-30,16808.7,16800,VALID,94,57,53,,,,,193.0,0.05,185.75,533.15,360.05,641.35,376.05,129.95
40,2022-10-06,2022-10-13,2022-11-03,2022-10-07,17299.6,17400,MISSING_ENTRY_LEG,86,2,2,,,far_ce,,218.2,391.0,100.0,0.1,,164.0,399.9,579.95
41,2022-10-13,2022-10-20,2022-11-10,2022-10-14,17293.4,17500,MISSING_ENTRY_LEG,86,3,3,,,far_pe,,276.75,0.05,60.25,64.05,255.0,303.0,,241.0
42,2022-10-20,2022-10-27,2022-11-17,2022-10-21,17624.8,17600,MISSING_ENTRY_LEG,91,1,1,,,far_ce,,138.45,0.05,120.0,136.65,,371.85,332.0,189.95
43,2022-10-27,2022-11-03,2022-11-24,2022-10-28,17760.4,17750,VALID,82,62,54,,,,,138.05,0.05,142.0,302.1,315.0,500.15,288.8,127.0
44,2022-11-03,2022-11-10,2023-01-05,2022-11-04,18064.8,,NO_COMMON_STRIKE,77,0,0,,,,,,,,,,,,
45,2022-11-10,2022-11-17,2023-01-12,2022-11-11,18284.9,,NO_COMMON_STRIKE,67,0,0,,,,,,,,,,,,
46,2022-11-17,2022-11-24,2023-01-19,2022-11-18,18385.1,,NO_COMMON_STRIKE,83,0,0,,,,,,,,,,,,
47,2022-11-24,2023-01-05,2023-01-25,2023-01-02,18133.65,18150,VALID,88,60,54,,,,,104.05,157.45,103.0,0.05,298.65,179.85,244.3,258.15
48,2023-01-05,2023-01-12,2023-02-02,2023-01-06,18013.4,18000,MISSING_ENTRY_LEG,80,12,12,,,far_pe,,110.05,141.35,140.0,0.05,340.1,239.25,,295.25
49,2023-01-12,2023-01-19,2023-02-09,2023-01-13,17871.05,17900,MISSING_ENTRY_LEG,80,6,6,,,far_pe,,147.9,0.05,139.85,207.3,324.75,396.75,,147.5
50,2023-01-19,2023-01-25,2023-02-16,2023-01-20,18116.2,18100,VALID,97,7,7,,,,,102.0,207.5,113.0,0.2,333.8,195.4,233.0,313.85
51,2023-01-25,2023-02-02,2023-02-23,2023-01-27,17884.75,17900,VALID,81,49,49,,,,,148.0,289.5,164.5,0.05,335.0,147.2,250.55,378.0
52,2023-02-02,2023-02-09,2023-03-02,2023-02-03,17722.35,17800,MISSING_ENTRY_LEG,82,9,9,,,far_ce,,203.9,0.05,101.2,93.35,,300.0,289.7,127.0
53,2023-02-09,2023-02-16,2023-03-09,2023-02-10,17847.65,17000,MISSING_ENTRY_LEG+MISSING_EXIT_LEG,71,1,1,far_ce,far_ce,far_ce,far_ce,3.6,0.05,850.05,1033.2,,,40.0,12.0
54,2023-02-16,2023-02-23,2023-03-16,2023-02-17,17980.25,18000,MISSING_ENTRY_LEG,81,3,3,,,far_pe,,94.85,490.05,104.0,0.1,250.05,60.95,,456.0
55,2023-02-23,2023-03-02,2023-03-23,2023-02-24,17593.6,17400,MISSING_ENTRY_LEG,73,4,4,,,far_ce,,47.45,78.0,247.75,0.05,,173.05,140.0,205.2
56,2023-03-02,2023-03-09,2023-03-29,2023-03-03,17434.3,17450,VALID,72,68,63,,,,,89.05,0.05,84.9,139.3,218.95,305.65,193.35,119.25
57,2023-03-09,2023-03-16,2023-04-06,2023-03-10,17451.5,17500,VALID,73,6,6,,,,,110.0,515.45,120.0,0.1,248.95,82.5,236.8,476.3
58,2023-03-16,2023-03-23,2023-04-13,2023-03-17,17119.5,17000,VALID,82,3,3,,,,,89.95,0.05,233.0,76.7,399.0,298.0,182.25,170.95
59,2023-03-23,2023-03-29,2023-04-20,2023-03-24,17092.7,17200,MISSING_ENTRY_LEG,90,1,1,,,far_pe,,170.0,118.35,66.0,0.05,229.2,200.0,,198.6
60,2023-03-29,2023-04-06,2023-04-27,2023-03-31,17214.9,17200,VALID,75,73,67,,,,,90.0,0.05,95.0,399.9,260.1,495.05,197.0,48.0
61,2023-04-06,2023-04-13,2023-05-04,2023-04-10,17635.35,17600,MISSING_ENTRY_LEG,74,7,7,,,far_ce,,80.0,0.05,96.95,228.3,,375.15,174.0,76.95
62,2023-04-13,2023-04-20,2023-05-11,2023-04-17,17736.2,17700,MISSING_ENTRY_LEG,73,5,5,,,far_ce,,40.0,75.35,185.65,0.05,,171.9,163.95,179.25
63,2023-04-20,2023-04-27,2023-05-18,2023-04-21,17651.4,,NO_COMMON_STRIKE,79,0,0,,,,,,,,,,,,
64,2023-04-27,2023-05-04,2023-05-25,2023-04-28,17955.75,17950,VALID,72,60,55,,,,,93.0,0.05,99.0,305.6,246.0,402.75,165.0,70.0
65,2023-05-04,2023-05-11,2023-06-01,2023-05-05,18117.3,18100,VALID,71,7,7,,,,,48.0,0.05,135.0,197.0,310.95,359.05,170.65,97.0
66,2023-05-11,2023-05-18,2023-06-08,2023-05-12,18273.8,19000,MISSING_ENTRY_LEG+MISSING_EXIT_LEG,73,1,1,far_pe,far_pe,far_pe,far_pe,738.05,869.7,1.7,0.05,26.0,9.3,,
67,2023-05-18,2023-05-25,2023-06-15,2023-05-19,18186.2,,NO_COMMON_STRIKE,83,0,0,,,,,,,,,,,,
68,2023-05-25,2023-06-01,2023-06-22,2023-05-26,18368.3,18400,VALID,75,1,1,,,,,123.55,0.05,84.0,87.3,211.05,274.05,190.3,117.85
69,2023-06-01,2023-06-08,2023-06-28,2023-06-02,18550.8,18550,VALID,71,49,45,,,,,85.4,0.05,100.0,84.5,234.0,275.6,166.0,104.25
70,2023-06-08,2023-06-15,2023-07-06,2023-06-09,18655.9,18650,MISSING_ENTRY_LEG,73,10,10,,,far_pe,,71.6,0.05,111.0,37.8,256.7,243.6,,124.0
71,2023-06-15,2023-06-22,2023-07-13,2023-06-16,18723.3,18700,MISSING_ENTRY_LEG,73,9,9,,,far_ce,,70.0,0.05,110.0,71.35,,296.0,142.95,114.6
72,2023-06-22,2023-06-28,2023-07-20,2023-06-23,18741.8,18750,VALID,94,13,13,,,,,65.0,0.05,143.9,222.0,310.0,366.6,193.8,83.1
73,2023-06-28,2023-07-06,2023-07-27,2023-06-30,19076.8,19100,VALID,70,64,60,,,,,111.1,0.05,61.6,398.45,220.0,499.8,190.0,70.0
74,2023-07-06,2023-07-13,2023-08-03,2023-07-07,19422.8,19400,VALID,80,22,22,,,,,81.0,0.05,111.4,13.85,312.45,248.15,180.05,127.15
75,2023-07-13,2023-07-20,2023-08-10,2023-07-14,19493.45,19500,VALID,78,13,13,,,,,90.15,0.05,84.25,480.0,258.25,574.0,174.7,59.25
76,2023-07-20,2023-07-27,2023-08-17,2023-07-21,19800.45,19800,VALID,103,17,17,,,,,70.0,140.6,130.05,0.1,326.05,195.65,174.3,193.6
77,2023-07-27,2023-08-03,2023-08-24,2023-07-28,19659.75,19650,VALID,88,13,13,,,,,88.0,268.9,170.05,0.05,299.0,97.3,190.95,320.0
78,2023-08-03,2023-08-10,2023-08-31,2023-08-04,19462.8,19450,VALID,74,79,71,,,,,80.0,0.05,101.2,92.85,219.75,263.35,182.7,117.0
79,2023-08-10,2023-08-17,2023-09-07,2023-08-11,19554.25,19550,MISSING_ENTRY_LEG,73,10,10,,,far_pe,,95.05,184.7,111.0,0.05,230.25,121.05,,240.2
80,2023-08-17,2023-08-24,2023-09-14,2023-08-18,19301.75,19300,VALID,74,11,11,,,,,95.0,0.05,140.0,86.6,276.1,284.6,186.25,116.25
81,2023-08-24,2023-08-31,2023-09-21,2023-08-25,19297.4,19300,MISSING_ENTRY_LEG+MISSING_EXIT_LEG,95,7,7,far_ce,far_ce,far_ce,far_ce,81.05,45.6,120.0,0.05,,,185.0,139.7
82,2023-08-31,2023-09-07,2023-09-28,2023-09-01,19258.15,19250,VALID,69,71,59,,,,,70.0,0.05,174.9,476.75,320.0,555.75,157.95,41.0
83,2023-09-07,2023-09-14,2023-10-05,2023-09-08,19774.8,19800,MISSING_ENTRY_LEG,66,16,16,,,far_pe,,120.0,0.05,65.0,303.2,212.7,493.0,,62.3
84,2023-09-14,2023-09-21,2023-10-12,2023-09-15,20156.45,20150,MISSING_ENTRY_LEG+MISSING_EXIT_LEG,74,13,13,far_ce,far_ce,far_ce,far_ce,85.0,407.85,105.0,0.05,,,163.75,364.0
85,2023-09-21,2023-09-28,2023-10-19,2023-09-22,19744.85,19750,MISSING_ENTRY_LEG+MISSING_EXIT_LEG,92,2,2,far_ce,far_ce,far_ce,far_ce,103.0,226.0,121.0,0.05,,,170.6,271.95
86,2023-09-28,2023-10-05,2023-10-26,2023-09-29,19581.2,19600,VALID,72,78,70,,,,,130.0,53.95,119.0,0.05,282.6,171.75,224.55,205.0
87,2023-10-05,2023-10-12,2023-11-02,2023-10-06,19621.2,19600,MISSING_ENTRY_LEG,51,25,17,near_ce,,near_ce,,110.0,0.05,,194.2,257.45,388.0,180.0,92.0
88,2023-10-12,2023-10-19,2023-11-09,2023-10-13,19654.55,19700,MISSING_ENTRY_LEG,18,20,6,near_ce,,near_ce,,108.0,75.3,,0.05,273.65,194.0,182.2,188.4
89,2023-10-19,2023-10-26,2023-11-16,2023-10-20,19542.15,19550,MISSING_ENTRY_LEG,80,16,16,,,far_pe,,91.55,694.95,125.0,0.05,274.3,32.8,,637.0
90,2023-10-26,2023-11-02,2023-11-23,2023-10-27,18928.75,18950,MISSING_ENTRY_LEG,80,24,24,,,far_ce,,148.0,0.05,116.0,182.65,,377.55,213.45,85.0
91,2023-11-02,2023-11-09,2023-11-30,2023-11-03,19241.0,19250,VALID,80,81,75,,,,,77.8,0.05,110.1,145.05,261.4,315.75,163.0,85.2
92,2023-11-09,2023-11-16,2023-12-07,2023-11-10,19351.85,19350,VALID,80,18,18,,,,,75.95,0.05,139.0,415.0,244.8,503.5,170.2,41.4
93,2023-11-16,2023-11-23,2023-12-14,2023-11-17,19674.75,19650,VALID,79,28,28,,,,,49.9,0.05,181.0,151.4,330.0,373.1,138.4,77.75
94,2023-11-23,2023-11-30,2023-12-21,2023-11-24,19809.6,19800,VALID,88,18,18,,,,,57.8,0.05,138.0,334.0,303.0,525.4,154.75,81.9
95,2023-11-30,2023-12-07,2023-12-28,2023-12-01,20194.1,20200,VALID,81,89,78,,,,,99.2,0.05,154.25,702.5,325.0,866.35,203.65,25.05
96,2023-12-07,2023-12-14,2024-01-04,2023-12-08,20934.1,20950,MISSING_ENTRY_LEG,92,32,32,,,far_ce,,90.2,0.05,150.4,232.0,,490.1,195.1,77.95
97,2023-12-14,2023-12-21,2024-01-11,2023-12-15,21287.45,21300,VALID,91,35,35,,,,,90.05,45.2,135.6,0.05,344.95,351.25,194.9,193.4
98,2023-12-21,2023-12-28,2024-01-18,2023-12-22,21295.85,21300,VALID,125,25,25,,,,,115.0,0.2,185.0,480.4,394.2,675.5,226.15,111.6
99,2023-12-28,2024-01-04,2024-01-25,2023-12-29,21737.65,21750,VALID,95,85,82,,,,,135.0,91.25,249.75,0.05,496.0,289.9,274.95,225.05
100,2024-01-04,2024-01-11,2024-02-01,2024-01-05,21705.75,21700,VALID,79,37,37,,,,,111.05,53.3,148.95,0.05,401.95,290.0,237.9,256.2
101,2024-01-11,2024-01-18,2024-02-08,2024-01-12,21773.55,21750,VALID,77,19,19,,,,,165.0,287.7,115.0,0.05,348.85,245.9,282.55,388.1
102,2024-01-18,2024-01-25,2024-02-15,2024-01-19,21615.2,21650,VALID,131,27,27,,,,,180.6,297.5,140.0,0.3,385.35,210.0,280.4,448.5
103,2024-01-25,2024-02-01,2024-02-22,2024-01-29,21433.1,21450,MISSING_EXIT_LEG,88,63,63,,far_ce,,far_ce,194.0,0.05,171.0,247.7,360.0,530.35,279.55,168.05
104,2024-02-01,2024-02-08,2024-02-29,2024-02-02,21812.75,21800,VALID,88,96,88,,,,,151.15,81.9,165.6,0.05,360.0,320.0,275.0,293.0
105,2024-02-08,2024-02-15,2024-03-07,2024-02-09,21727.0,21750,MISSING_ENTRY_LEG,88,22,22,far_pe,,far_pe,,171.2,0.05,176.35,160.25,396.0,478.2,,166.05
106,2024-02-15,2024-02-22,2024-03-14,2024-02-16,22020.3,22000,MISSING_ENTRY_LEG,85,17,17,,,far_ce,,132.9,0.05,169.0,217.0,,516.25,280.0,164.2
107,2024-02-22,2024-02-29,2024-03-21,2024-02-23,22290.0,22300,MISSING_ENTRY_LEG,106,51,51,,,far_ce,,168.0,316.75,150.5,0.05,,230.0,301.7,363.5
108,2024-02-29,2024-03-07,2024-03-28,2024-03-01,22048.3,22050,VALID,83,86,74,,,,,132.0,0.05,197.65,443.75,405.0,589.1,296.45,97.7
109,2024-03-07,2024-03-14,2024-04-04,2024-03-11,22517.5,22500,VALID,89,54,54,,,,,125.0,353.3,125.75,0.05,380.0,193.8,259.4,367.6
110,2024-03-14,2024-03-21,2024-04-10,2024-03-15,22064.85,22100,MISSING_ENTRY_LEG,83,47,47,,,far_ce,,139.0,87.9,198.0,0.05,,315.0,243.4,183.5
111,2024-03-21,2024-03-28,2024-04-18,2024-03-22,21932.2,21950,MISSING_ENTRY_LEG,105,46,46,,,far_ce,,89.8,0.05,225.6,377.15,,650.0,177.45,92.6
112,2024-03-28,2024-04-04,2024-04-25,2024-04-01,22455.0,22450,VALID,85,78,75,,,,,123.9,0.05,102.0,64.6,360.0,344.0,260.05,155.8
113,2024-04-04,2024-04-10,2024-05-02,2024-04-05,22486.4,22500,VALID,85,57,57,,,,,116.4,0.05,140.0,253.6,325.25,464.0,207.85,112.7
114,2024-04-10,2024-04-18,2024-05-09,2024-04-12,22677.4,22700,VALID,90,46,46,,,,,147.65,706.6,145.0,0.05,345.75,80.2,224.0,563.0
115,2024-04-18,2024-04-25,2024-05-16,2024-04-19,21861.5,21850,MISSING_ENTRY_LEG,99,59,59,far_pe,,far_pe,,149.95,0.1,295.9,723.55,424.0,586.75,,89.0
116,2024-04-25,2024-05-02,2024-05-23,2024-04-26,22620.4,22600,VALID,86,48,48,,,,,131.05,0.05,150.0,48.35,331.65,349.0,269.75,190.85
117,2024-05-02,2024-05-09,2024-05-30,2024-05-03,22766.35,22750,VALID,86,80,78,,,,,105.15,793.5,151.05,0.05,334.0,65.4,250.0,731.5
118,2024-05-09,2024-05-16,2024-06-06,2024-05-10,21990.95,22000,VALID,87,26,26,,,,,159.9,0.05,182.0,403.95,567.15,801.05,435.0,277.0
119,2024-05-16,2024-05-23,2024-06-13,2024-05-17,22415.25,22400,MISSING_ENTRY_LEG,85,45,45,far_pe,,far_pe,,140.5,0.05,171.0,567.2,574.3,905.25,,243.65
120,2024-05-23,2024-05-30,2024-06-20,2024-05-24,22930.75,22900,MISSING_ENTRY_LEG,94,44,44,,,far_ce,,144.7,411.9,220.0,0.05,,395.0,449.95,683.3
121,2024-05-30,2024-06-06,2024-06-27,2024-05-31,22568.1,22550,VALID,76,82,65,,,,,500.0,0.05,557.0,271.0,629.15,578.9,482.45,187.15
122,2024-06-06,2024-06-13,2024-07-04,2024-06-07,22821.85,22800,VALID,96,65,64,,,,,216.5,0.05,294.35,599.85,479.85,720.0,347.25,84.2
123,2024-06-13,2024-06-20,2024-07-11,2024-06-14,23464.95,23450,MISSING_ENTRY_LEG,101,61,61,,,far_pe,,170.0,0.05,109.55,116.8,373.55,391.55,,184.35
124,2024-06-20,2024-06-27,2024-07-18,2024-06-21,23661.15,23650,MISSING_ENTRY_LEG,114,44,44,,,far_ce,,154.95,0.1,116.2,395.4,,568.3,400.0,146.35
125,2024-06-27,2024-07-04,2024-07-25,2024-06-28,24085.9,24100,VALID,114,90,90,,,,,192.7,0.05,145.6,201.75,387.75,443.0,347.65,165.05
126,2024-07-04,2024-07-11,2024-08-01,2024-07-05,24213.35,24200,VALID,101,47,47,,,,,93.25,0.05,200.5,115.9,390.65,444.85,287.15,224.1
127,2024-07-11,2024-07-18,2024-08-08,2024-07-12,24387.95,24400,MISSING_ENTRY_LEG,92,46,46,,,far_ce,,109.9,0.05,130.25,401.5,,632.85,347.5,167.55
128,2024-07-18,2024-07-25,2024-08-14,2024-07-19,24853.8,24900,MISSING_ENTRY_LEG,129,55,55,far_pe,,far_pe,,273.6,493.55,176.5,0.05,350.0,91.7,,530.0
129,2024-07-25,2024-08-01,2024-08-22,2024-07-26,24423.35,24400,VALID,97,58,58,,,,,155.0,0.05,165.0,611.5,375.0,699.35,279.0,86.85
130,2024-08-01,2024-08-08,2024-08-29,2024-08-02,24789.0,24800,VALID,85,91,75,,,,,125.15,684.0,172.0,0.05,400.0,83.05,345.0,762.95
131,2024-08-08,2024-08-14,2024-09-05,2024-08-09,24386.85,24400,VALID,91,56,56,,,,,186.15,256.05,130.1,0.05,365.45,231.5,368.85,405.0
132,2024-08-14,2024-08-22,2024-09-12,2024-08-16,24334.85,24350,MISSING_EXIT_LEG,91,55,55,,far_ce,,far_ce,189.5,0.05,145.0,461.6,392.6,521.95,316.6,80.7
133,2024-08-22,2024-08-29,2024-09-19,2024-08-23,24845.4,24850,VALID,133,51,51,,,,,137.45,0.1,146.3,302.0,331.25,518.3,276.0,130.2
134,2024-08-29,2024-09-05,2024-09-26,2024-08-30,25249.7,25250,VALID,94,88,79,,,,,155.45,104.9,130.0,0.05,360.0,292.4,329.95,307.1
