sample,offset,offset_label,cycles,trades,gross,mean_cycle,win,pf,dd,worst,net_0pt,net_0.5pt,net_1pt,net_2pt,gate_pass_executable,executable_cycles,coverage,median_atm_points
DEVELOPMENT,-1,D-1,134,75,161935.0,1208.4701492537313,0.7066666666666667,4.625850149738309,-10357.5,-10357.5,139918.47576935004,125968.47576935,112018.47576935,84118.47576935,75,126,0.9402985074626866,19.4248046875
DEVELOPMENT,0,D0,134,75,101857.49999999997,760.1305970149252,0.68,3.613657503929178,-9386.25,-7737.5,80349.05334599997,66549.05334599996,52749.05334599997,25149.053345999975,75,128,0.9552238805970149,18.3994140625
DEVELOPMENT,1,D+1,134,79,128382.5,958.0783582089553,0.7974683544303798,9.078181532169259,-4720.0,-3472.500000000002,106235.40348465003,91635.40348465001,77035.40348465001,47835.403484649985,79,129,0.9626865671641791,15.19921875
DEVELOPMENT,2,D+2,134,75,151540.0,1130.8955223880596,0.8,7.539648289998926,-9612.5,-8037.499999999998,130865.25844175003,117115.25844175,103365.25844175003,75865.25844175002,75,129,0.9626865671641791,15.19921875
DEVELOPMENT,3,D+3,134,56,53944.999999999985,402.5746268656716,0.6607142857142857,3.2643370586074814,-5852.499999999997,-2847.499999999998,38691.74837415,28141.74837414999,17591.74837414999,-3508.2516258500177,56,129,0.9626865671641791,15.099609375
DEVELOPMENT,4,D+4,134,57,60158.74999999999,448.94589552238807,0.6842105263157895,3.3090246125797633,-8035.0,-5648.75,45067.506057474995,34417.50605747501,23767.506057475,2467.506057475,57,130,0.9701492537313433,15.5
DEVELOPMENT,5,D+5,134,40,21531.25,160.68097014925374,0.625,1.7315467595345277,-10408.75,-7607.5,11074.480460124993,3424.4804601249916,-4225.519539875004,-19525.519539875007,40,92,0.6865671641791045,14.599609375
OOS,-1,D-1,88,44,90808.25000000003,1031.9119318181822,0.7272727272727273,2.9216745406546436,-30663.75,-25252.5,74246.23408329503,61646.23408329503,49046.23408329503,23846.23408329501,44,76,0.8636363636363636,17.650390625
OOS,0,D0,88,42,133757.75,1519.9744318181818,0.8095238095238095,11.925466092177004,-4143.750000000006,-2861.2500000000045,117810.36339204502,105830.363392045,93850.36339204502,69890.36339204501,42,76,0.8636363636363636,16.525390625
OOS,1,D+1,88,36,99992.75,1136.28125,0.7222222222222222,4.539942294756965,-13406.25,-12502.75,87251.89728231505,76971.89728231504,66691.89728231503,46131.89728231501,36,76,0.8636363636363636,12.125
OOS,2,D+2,88,44,129107.75,1467.1335227272725,0.75,8.099781410247598,-9213.750000000007,-4518.750000000005,113707.52810026499,101127.52810026499,88547.52810026499,63387.52810026496,44,76,0.8636363636363636,13.4248046875
OOS,3,D+3,88,36,50454.24999999999,573.34375,0.5555555555555556,1.9927248937509838,-18667.5,-8528.000000000002,38109.180229085,27869.180229084996,17629.180229084996,-2850.8197709150063,36,76,0.8636363636363636,12.9501953125
OOS,4,D+4,88,33,80698.99999999999,917.0340909090909,0.7272727272727273,3.8337561780688434,-11388.749999999998,-11115.000000000002,69517.50188083,60177.50188082999,50837.501880829994,32157.50188083,33,74,0.8409090909090909,11.4755859375
OOS,5,D+5,88,19,17239.999999999978,195.90909090909065,0.6842105263157895,2.3590587493348547,-6685.250000000002,-3610.7500000000036,11245.223836519977,5865.22383651998,485.2238365199794,-10274.776163480023,19,54,0.6136363636363636,14.1494140625
