strategy,trades,gross_pnl,mean_pnl,win_rate,profit_factor,max_drawdown,worst_trade,coverage
F+1,3,6714.500000000002,2238.1666666666674,1.0,inf,0.0,1706.25,1.0
F+2,3,3080.9999999999964,1026.9999999999989,1.0,inf,0.0,555.7499999999982,1.0
F+3,3,6100.249999999996,2033.4166666666654,0.6666666666666666,9.090517241379287,754.0000000000018,-754.0000000000018,1.0
F+4,0,0.0,,,,,,0.0
ADAPTIVE,3,6714.500000000002,2238.1666666666674,1.0,inf,0.0,1706.25,1.0
