entry_date,near_expiry,far_expiry,strike,lot_near,lot_far,entry_near_pe,exit_near_pe,entry_near_ce,exit_near_ce,entry_far_ce,exit_far_ce,entry_far_pe,exit_far_pe,pnl_inr
2022-01-07,2022-01-13,2022-02-03,17800.0,50,50,151.0,0.15,144.25,454.0,417.3,577.0,329.95,128.6,-4977.5
2022-01-14,2022-01-20,2022-02-10,16000.0,50,50,1.75,0.1,0.0,2264.45,0.0,1741.6,18.1,12.75,-25957.499999999985
2022-01-21,2022-01-27,2022-02-17,17650.0,50,50,101.65,549.7,160.25,0.1,0.0,503.1,513.15,691.25,46660.0
2022-01-28,2022-02-03,2022-02-24,17250.0,50,50,279.9,0.1,216.95,326.3,300.05,485.25,378.4,179.8,-267.5000000000018
2022-02-04,2022-02-10,2022-03-03,17850.0,50,50,330.0,239.6,50.0,0.1,207.85,173.4,0.0,726.7,-40082.5
2022-02-11,2022-02-17,2022-03-10,18000.0,50,50,568.0,682.25,18.0,0.1,129.5,98.55,674.65,674.65,5060.0
2022-02-18,2022-02-24,2022-03-17,17300.0,50,50,239.0,1038.25,179.0,0.1,423.05,110.85,0.0,317.35,17430.0
2022-02-25,2022-03-03,2022-03-24,16500.0,50,50,200.7,14.65,345.75,8.7,504.4,431.5,421.15,424.05,3759.999999999999
2022-03-04,2022-03-10,2022-03-31,16350.0,50,50,225.1,0.35,229.3,244.3,465.35,550.85,500.0,282.55,3160.0
2022-03-11,2022-03-17,2022-04-07,16300.0,50,50,168.2,0.15,271.35,994.45,551.25,824.0,346.1,92.0,-18215.0
2022-03-21,2022-03-24,2022-04-13,17300.0,50,50,197.0,71.35,240.0,0.7,460.0,380.1,364.0,415.9,-907.4999999999982
2022-03-25,2022-03-31,2022-04-21,18500.0,50,50,1214.25,1035.15,2.1,0.05,62.9,30.65,0.0,1320.45,-76487.5
2022-04-01,2022-04-07,2022-04-28,17450.0,50,50,170.6,0.1,188.85,193.4,376.05,473.6,351.0,194.65,3942.500000000001
2022-04-08,2022-04-13,2022-05-05,18000.0,50,50,333.0,521.3,44.0,0.1,239.95,100.05,469.65,543.6,917.4999999999968
2022-04-18,2022-04-21,2022-05-12,17200.0,50,50,101.25,0.15,150.0,191.0,425.0,415.2,289.0,183.65,-2327.500000000001
2022-04-22,2022-04-28,2022-05-19,17200.0,50,50,500.0,0.8,180.1,52.85,379.0,321.75,310.95,269.2,-19372.5
2022-04-29,2022-05-05,2022-05-26,17350.0,50,50,172.15,665.3,130.0,0.1,331.35,70.3,359.45,725.6,-207.5
2022-05-06,2022-05-12,2022-06-02,16200.0,50,50,90.0,400.5,326.45,0.15,524.4,177.05,242.2,565.6,-1697.5000000000018
2022-05-13,2022-05-19,2022-06-09,17000.0,50,50,1020.0,1197.1,3.95,0.1,74.95,24.95,0.0,349.0,-10902.500000000004
2022-05-20,2022-05-26,2022-06-16,16300.0,50,50,377.3,143.2,54.0,0.15,219.25,270.7,0.0,390.0,-25940.0
2022-05-27,2022-06-02,2022-06-23,16500.0,50,50,305.05,0.4,84.2,116.85,268.3,358.45,487.1,252.2,-612.4999999999982
2022-06-03,2022-06-09,2022-06-30,16750.0,50,50,162.3,280.15,160.0,0.1,340.6,152.1,311.95,421.75,-1027.5000000000045
2022-06-10,2022-06-16,2022-07-07,16400.0,50,50,147.4,1034.1,124.0,0.1,292.2,37.25,369.95,1057.65,3397.5
2022-06-17,2022-06-23,2022-07-14,15600.0,50,50,358.35,44.95,86.95,1.35,261.7,291.6,548.15,308.3,2097.499999999998
2022-06-24,2022-06-30,2022-07-21,15650.0,50,50,189.0,0.2,177.5,136.9,384.2,369.45,0.0,469.0,-31597.5
2022-07-01,2022-07-07,2022-07-28,15700.0,50,50,169.9,0.1,148.0,432.05,370.05,575.4,389.35,130.35,524.9999999999982
2022-07-08,2022-07-14,2022-08-04,16300.0,50,50,159.95,371.05,120.0,0.1,270.2,109.05,0.0,485.0,-15757.5
2022-07-15,2022-07-21,2022-08-11,15800.0,50,50,78.0,0.05,238.3,793.05,425.75,763.2,207.5,48.2,-6797.499999999995
2022-07-22,2022-07-28,2022-08-18,16600.0,50,50,85.2,0.1,150.0,322.1,304.95,471.0,258.35,136.35,1542.5
2022-07-29,2022-08-04,2022-08-25,17050.0,50,50,117.2,0.2,127.0,335.85,315.55,492.4,261.95,161.9,-2447.5000000000045
2022-08-05,2022-08-11,2022-09-01,17400.0,50,50,170.0,0.15,180.0,265.9,352.7,458.5,277.0,161.35,-1714.999999999999
2022-08-12,2022-08-18,2022-09-08,18000.0,50,50,355.7,46.2,23.75,0.3,188.0,264.0,458.0,240.45,375.0
2022-08-19,2022-08-25,2022-09-15,18500.0,50,50,520.1,974.25,6.05,0.05,108.15,24.25,0.0,2446.05,-103490.00000000001
2022-08-26,2022-09-01,2022-09-22,17000.0,50,50,25.95,0.1,625.0,536.15,800.0,688.0,134.95,112.95,-1349.9999999999998
2022-09-02,2022-09-08,2022-09-29,17600.0,50,50,165.95,0.25,176.1,198.1,342.15,413.0,330.85,191.9,1105.0000000000018
2022-09-09,2022-09-15,2022-10-06,18500.0,50,50,582.2,618.8,5.4,0.1,88.5,76.5,0.0,650.0,-31005.000000000004
2022-09-16,2022-09-22,2022-10-13,17800.0,50,50,146.1,162.3,140.0,0.2,343.15,256.4,340.75,364.7,2265.0000000000023
2022-09-23,2022-09-29,2022-10-20,18000.0,50,50,454.4,1193.65,35.95,0.05,231.4,27.6,0.0,1020.0,-22432.499999999993
2022-09-30,2022-10-06,2022-10-27,16800.0,50,50,193.0,0.1,185.75,538.45,360.05,647.5,376.05,126.7,-440.0000000000018
2022-10-07,2022-10-13,2022-11-03,17400.0,50,50,218.2,389.55,100.0,0.1,298.95,160.6,399.9,579.95,-2357.500000000002
2022-10-14,2022-10-20,2022-11-10,17500.0,50,50,276.75,0.75,60.25,47.5,255.0,297.9,425.0,245.05,-2020.0
2022-10-21,2022-10-27,2022-11-17,17600.0,50,50,138.45,0.25,120.0,114.95,328.3,367.8,332.0,199.15,1960.000000000001
2022-10-28,2022-11-03,2022-11-24,17750.0,50,50,138.05,0.1,142.0,308.95,315.0,494.9,288.8,127.35,1822.499999999999
2022-11-04,2022-11-10,2023-01-05,18050.0,50,50,127.15,23.3,161.75,0.95,0.0,741.15,0.0,538.6,12975.0
2022-11-11,2022-11-17,2023-01-12,18300.0,50,50,130.0,0.35,85.0,54.95,0.0,599.25,0.0,667.2,-8377.5
2022-11-18,2022-11-24,2023-01-19,18400.0,50,50,120.0,1.65,102.6,43.6,0.0,714.5,0.0,565.0,4507.5
2023-01-02,2023-01-05,2023-01-25,18150.0,50,50,104.05,160.75,103.0,0.25,298.65,181.5,244.3,267.0,980.0000000000014
2023-01-06,2023-01-12,2023-02-02,18000.0,50,50,110.05,143.1,140.0,0.2,340.1,239.5,245.05,288.45,1442.5
2023-01-13,2023-01-19,2023-02-09,17900.0,50,50,147.9,0.15,139.85,212.45,324.75,399.15,276.0,144.95,-745.0
2023-01-20,2023-01-25,2023-02-16,18100.0,50,50,102.0,211.1,113.0,0.2,333.8,193.95,233.0,316.45,-70.0
2023-01-27,2023-02-02,2023-02-23,17900.0,50,50,148.0,292.15,164.5,0.15,335.0,150.45,250.55,368.55,297.5
