loss_rank,entry_date,near_expiry,far_expiry,strike,lot_near,lot_far,pnl_inr,leg_near_pe,leg_near_ce,leg_far_ce,leg_far_pe,initial_net_debit_points,near_call_far_call_ratio,near_put_far_put_ratio,signature,comparison_status
22,2024-05-10,2024-05-16,2024-06-06,22000.0,25,25,-439.9999999999986,-3988.7500000000005,-5445.0,5270.000000000002,3723.7499999999995,110.04999999999995,0.32090275941109053,0.36758620689655175,bullish-like front-week adverse signature,PRIMARY_VALID_SECONDARY_COMPLETE
23,2024-06-07,2024-06-13,2024-07-04,22800.0,25,25,-313.75,-5410.0,-7576.249999999999,6007.499999999999,6665.000000000001,54.75,0.613420860685631,0.6234701223902088,bullish-like front-week adverse signature,PRIMARY_VALID_SECONDARY_COMPLETE
24,2024-04-01,2024-04-04,2024-04-25,22450.0,50,50,-297.5,-6070.0,2362.5,-1417.5000000000011,4827.500000000001,121.84999999999997,0.2833333333333333,0.47644683714670255,mixed signature,PRIMARY_VALID_SECONDARY_COMPLETE
25,2022-04-29,2022-05-05,2022-05-26,17350.0,50,50,-207.5,24657.5,6495.0,-13052.5,-18307.5,14.050000000000011,0.3923343896182284,0.4789261371539853,bearish-like far-week adverse signature,PRIMARY_VALID_SECONDARY_COMPLETE
26,2023-07-07,2023-07-13,2023-08-03,19400.0,50,50,-192.4999999999991,-3732.5000000000005,5120.0,-3759.9999999999995,2180.000000000001,101.99999999999994,0.3565370459273484,0.44987503471257984,mixed signature,PRIMARY_VALID_SECONDARY_COMPLETE
27,2024-06-14,2024-06-20,2024-07-11,23450.0,25,25,-161.24999999999957,-4243.75,-130.00000000000006,567.4999999999998,3645.0000000000005,100.99999999999994,0.2932673002275465,0.5105105105105106,bullish-like front-week adverse signature,RECOVERED_BY_SECONDARY_EXACT
28,2023-10-06,2023-10-12,2023-11-02,19600.0,50,50,-99.99999999999908,-5495.0,-5427.499999999999,6365.000000000001,4457.5,99.79999999999995,0.34045445717615075,0.6111111111111112,bullish-like front-week adverse signature,RECOVERED_BY_SECONDARY_EXACT
29,2023-05-26,2023-06-01,2023-06-22,18350.0,50,50,-97.50000000000092,-3992.4999999999995,-1577.5000000000005,1275.0,4197.499999999999,61.349999999999994,0.409325502758498,0.4333694474539545,bullish-like front-week adverse signature,PRIMARY_VALID_SECONDARY_COMPLETE
30,2023-01-20,2023-01-25,2023-02-16,18100.0,50,50,-70.0,5455.0,5640.0,-6992.500000000001,-4172.499999999999,89.80000000000001,0.3385260635110845,0.43776824034334766,bearish-like far-week adverse signature,PRIMARY_VALID_SECONDARY_COMPLETE
31,2024-01-19,2024-01-25,2024-02-15,21600.0,50,50,-5.0000000000027285,5837.499999999998,8390.0,-8992.5,-5240.000000000001,132.95,0.4148148148148148,0.5977966756861229,bearish-like far-week adverse signature,PRIMARY_VALID_SECONDARY_COMPLETE
32,2023-09-15,2023-09-21,2023-10-12,20150.0,50,50,-1.8189894035458565e-12,16177.5,5247.5,-11412.500000000002,-10012.5,117.10000000000002,0.34901113511716797,0.5190839694656488,bearish-like far-week adverse signature,RECOVERED_BY_SECONDARY_EXACT
