entry_date,near_expiry,far_expiry,expiry_regime,spot_open,status,status_detail,gate_pass,strike,entry_near_pe,entry_near_ce,entry_far_ce,entry_far_pe,exit_near_pe,exit_near_ce,exit_far_ce,exit_far_pe,lot_near,lot_far,call_ratio,put_ratio,calendar_balance_ratio,pnl_points,pnl_inr,fixed_status,event_status,event_signal_timestamp,event_strike,event_cbr,event_spot_close,event_atm_distance_points,event_atm_distance_pct,event_fill_timestamp,event_entry_near_ce,event_entry_near_pe,event_entry_far_ce,event_entry_far_pe,event_exit_near_ce,event_exit_near_pe,event_exit_far_ce,event_exit_far_pe,event_pnl_points,event_pnl_inr,event_delay_minutes,fixed_signal_timestamp,fixed_strike,fixed_cbr,fixed_spot_close,fixed_atm_distance_points,fixed_atm_distance_pct,fixed_fill_timestamp,fixed_entry_near_ce,fixed_entry_near_pe,fixed_entry_far_ce,fixed_entry_far_pe,fixed_exit_near_ce,fixed_exit_near_pe,fixed_exit_far_ce,fixed_exit_far_pe,fixed_pnl_points,fixed_pnl_inr,fixed_delay_minutes
2025-01-01,2025-01-02,2025-01-23,THURSDAY,23637.650390625,ANALYZED,GATE_PASS,True,23650.0,113.0,172.9,390.0,300.0,0.35,541.1,716.15,132.6,75.0,75.0,2.255639097744361,2.6548672566371683,0.849624060150376,12.69999999999996,952.5,NO_TRIGGER,EXECUTABLE,2025-01-01 09:33:00,23600.0,1.082577873254565,23618.2,18.200000000000728,0.07705921704448572,2025-01-01 09:34:00,132.69,101.75,401.15,286.0,549.9,1.0,718.0,125.0,-40.110000000000014,-3008.25,19.0,,,,,,,,,,,,,,,,,,
2025-01-03,2025-01-09,2025-01-30,THURSDAY,24196.400390625,ANALYZED,GATE_FAIL,False,24200.0,199.0,176.0,533.0,428.0,680.85,0.1,106.95,652.85,75.0,75.0,3.028409090909091,2.150753768844221,1.4080687128292269,6.850000000000023,513.75,NO_TRIGGER,NO_TRIGGER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-10,2025-01-16,2025-02-06,THURSDAY,23551.900390625,ANALYZED,GATE_PASS,True,23550.0,174.95,210.0,497.0,366.7,245.15,0.1,321.65,421.45,75.0,75.0,2.3666666666666667,2.0960274364104032,1.129120079992728,50.0,3749.999999999998,NO_TRIGGER,EXECUTABLE,2025-01-10 09:31:00,23500.0,1.1209465544509951,23510.3,10.299999999999272,0.043810585147783195,2025-01-10 09:32:00,201.0,165.0,494.8,351.0,0.05,187.9,345.0,385.0,40.04999999999998,3003.75,17.0,,,,,,,,,,,,,,,,,,
2025-01-17,2025-01-23,2025-02-13,THURSDAY,23277.099609375,ANALYZED,GATE_FAIL,False,23300.0,173.0,189.0,511.0,376.5,93.25,0.2,421.55,377.3,75.0,75.0,2.703703703703704,2.1763005780346822,1.242339284835965,18.80000000000001,1410.0,NO_TRIGGER,EXECUTABLE,2025-01-17 10:11:00,23200.0,1.1408186483355551,23205.4,5.400000000001455,0.02327044567213431,2025-01-17 10:35:00,208.75,141.9,515.04,327.1,5.55,0.05,481.7,336.45,18.660000000000053,1399.5000000000043,80.0,,,,,,,,,,,,,,,,,,
2025-01-24,2025-01-30,2025-02-20,THURSDAY,23183.900390625,ANALYZED,GATE_FAIL,False,23200.0,196.0,191.0,563.15,355.0,2.6,30.5,520.0,329.25,75.0,75.0,2.948429319371728,1.8112244897959184,1.6278652016812918,-50.29999999999996,-3772.499999999998,NO_TRIGGER,EXECUTABLE,2025-01-24 13:02:00,23200.0,1.1667048964156885,23210.8,10.799999999999272,0.046530063591083776,2025-01-24 13:05:00,169.05,179.1,490.0,390.0,49.75,0.15,536.54,315.3,61.589999999999975,4619.249999999996,230.0,,,,,,,,,,,,,,,,,,
2025-01-31,2025-02-06,2025-02-27,THURSDAY,23296.75,ANALYZED,GATE_PASS,True,23300.0,272.0,365.0,570.3,381.45,0.1,293.35,547.8,156.05,75.0,75.0,1.562465753424657,1.402389705882353,1.1141451957832136,2.6499999999999773,198.75,EXECUTABLE,EXECUTABLE,2025-01-31 09:15:00,23300.0,1.1524368089684174,23285.7,14.299999999999272,0.061411080620291734,2025-01-31 09:16:00,915.85,71.09,1072.0,152.0,303.5,0.05,557.7,151.0,28.010000000000105,2100.75,1.0,2025-01-31 09:15:00,23300.0,1.1524368089684174,23285.7,14.299999999999272,0.061411080620291734,2025-01-31 09:16:00,915.85,71.09,1072.0,152.0,303.5,0.05,557.7,151.0,28.010000000000105,2100.75,1.0
2025-02-07,2025-02-13,2025-03-06,THURSDAY,23649.5,ANALYZED,GATE_PASS,True,23650.0,156.75,201.95,339.2,295.0,617.25,0.1,111.3,316.7,75.0,75.0,1.6796236692250557,1.881977671451356,0.8924780005119576,412.75000000000006,30956.25,NO_TRIGGER,EXECUTABLE,2025-02-07 10:24:00,23500.0,1.1024045134463478,23521.75,21.75,0.09246760976542986,2025-02-07 10:27:00,154.15,184.8,361.0,322.0,0.05,469.4,155.1,514.95,39.84999999999988,2988.7499999999964,72.0,,,,,,,,,,,,,,,,,,
2025-02-14,2025-02-20,2025-03-13,THURSDAY,23096.44921875,ANALYZED,GATE_FAIL,False,23100.0,170.0,190.0,430.05,265.5,187.4,0.15,261.85,330.0,75.0,75.0,2.2634210526315792,1.561764705882353,1.4492714837942315,-25.44999999999999,-1908.75,NO_TRIGGER,NO_TRIGGER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-21,2025-02-27,2025-03-20,THURSDAY,22857.19921875,ANALYZED,GATE_PASS,True,22850.0,133.3,198.05,471.0,280.05,301.0,0.15,168.95,357.0,75.0,75.0,2.3781873264327187,2.100900225056264,1.1319848977449791,-13.400000000000034,-1004.9999999999992,NO_TRIGGER,EXECUTABLE,2025-02-21 15:13:00,22800.0,1.1973891788146838,22809.3,9.299999999999272,0.04077284265628175,2025-02-21 15:22:00,151.55,134.4,404.65,280.0,0.1,254.5,196.1,333.95,9.05000000000004,678.7500000000027,367.0,,,,,,,,,,,,,,,,,,
2025-02-28,2025-03-06,2025-03-27,THURSDAY,22433.400390625,ANALYZED,GATE_PASS,True,22450.0,110.0,184.2,425.0,275.55,0.25,94.5,373.8,204.6,75.0,75.0,2.3072747014115094,2.505,0.9210677450744548,-0.2999999999999829,-22.49999999999909,EXECUTABLE,EXECUTABLE,2025-02-28 09:15:00,22350.0,1.0348629379019423,22348.45,1.5499999999992724,0.0069356040351759175,2025-02-28 09:16:00,925.6,6.65,1050.55,57.0,194.45,0.05,439.05,172.3,-2.249999999999943,-168.74999999999272,1.0,2025-02-28 09:15:00,22350.0,1.0348629379019423,22348.45,1.5499999999992724,0.0069356040351759175,2025-02-28 09:16:00,925.6,6.65,1050.55,57.0,194.45,0.05,439.05,172.3,-2.249999999999943,-168.74999999999272,1.0
2025-03-07,2025-03-13,2025-04-03,THURSDAY,22508.650390625,ANALYZED,GATE_FAIL,False,22500.0,148.0,164.0,399.45,257.95,104.65,0.15,254.95,263.15,75.0,75.0,2.435670731707317,1.7429054054054054,1.397477295183884,-29.19999999999999,-2189.999999999999,NO_TRIGGER,EXECUTABLE,2025-03-07 12:18:00,22500.0,1.1873674034207635,22523.8,23.799999999999272,0.10566600662410106,2025-03-07 12:19:00,346.2,48.75,572.04,167.35,0.05,102.6,252.0,265.0,-17.68999999999997,-1326.7499999999964,184.0,,,,,,,,,,,,,,,,,,
2025-03-17,2025-03-20,2025-04-09,THURSDAY,22353.150390625,ANALYZED,GATE_FAIL,False,22400.0,131.0,165.5,450.0,252.15,0.1,793.85,918.0,47.1,75.0,75.0,2.719033232628399,1.924809160305344,1.4126248402709507,-86.19999999999999,-6465.0,NO_TRIGGER,EXECUTABLE,2025-03-17 09:19:00,22500.0,1.1491463739826993,22502.65,2.650000000001455,0.011776390780647857,2025-03-17 09:20:00,214.0,67.84,461.4,190.3,691.0,0.05,815.95,58.0,-57.939999999999884,-4345.499999999996,5.0,,,,,,,,,,,,,,,,,,
